a,Rstar,R0,psi,pi,mean_nz,meannh
1.7764496849223e-05,1.81804624495114,0.0270432378962262,13.4718252399745,8.21531597037298e-06,16272.5880497713,17184.0974806266
1.5998326252168e-05,1.58636399256457,0.134835063409459,18.7537911345204,6.83489103627904e-06,11561.0711864098,12208.6648810926
1.96258167078607e-05,1.54887613030739,0.0298566645377761,11.308843382866,7.16870336291271e-06,19533.1973528968,20627.3498962701
1.54064362266222e-05,1.52421872857338,0.0219042582485181,21.9029091662651,5.41725361331379e-06,9859.35980575053,10411.6320944394
1.96596115606455e-05,1.52370434152319,0.0427215561066208,9.82318977934898,7.05851052484921e-06,22651.3901313242,23920.2083219853
1.58646552640311e-05,1.11607992538091,0.114592043328387,42.2566277354742,1.86355045771313e-06,5052.86666288629,5335.90311670594
1.68097114323098e-05,1.4281395565028,0.013924440729286,10.5401036606308,5.11042872168669e-06,21031.1836684836,22209.2459531823
1.29044388248222e-05,1.19102885934211,0.0776511536005953,27.1193685863293,2.24395660341309e-06,7926.76226112253,8370.78004950764
1.24483505702773e-05,1.06993631957675,0.00847824520382765,17.2888011621281,8.20632964877376e-07,12570.4626945309,13274.5974800508
1.78131998881605e-05,1.19439766411043,0.0128568456410118,20.1253009714878,2.9369465806101e-06,10752.7653032938,11355.081723506
1.52477618106818e-05,1.59187589307229,0.0278991885136559,7.33822517141325,5.83189041091392e-06,30908.2814142273,32639.6095787718
1.83061118645668e-05,1.42189076843006,0.0548528209822605,46.0252376318149,5.7467446604231e-06,4634.55179934661,4894.15633551328
2.16460146481488e-05,1.27535881340321,0.107622350077612,14.0734600439097,5.237029839767e-06,15550.6477287377,16421.7176542652
2.11015052394373e-05,1.59864355179482,0.0187670184987413,18.7040368616118,8.05283055103076e-06,11592.6851511793,12242.0497028976
1.63181502874391e-05,1.43196242254142,0.118211680691426,18.0157859976673,5.58229228190297e-06,12048.4415122176,12723.3352680176
2.21067881448744e-05,1.68115561471301,0.00779629697201601,13.9510890604348,9.02720956025321e-06,15692.2492856278,16571.2510259431
1.96785513894707e-05,1.77190732845919,0.0265194676283142,39.787276236617,8.80604967433584e-06,5370.49147091247,5671.31968638086
1.60254509628229e-05,1.34395114131548,0.00645137896232315,16.1773116950403,4.12788313027516e-06,13462.2677388362,14216.3570064509
1.37311217025993e-05,1.19586636262393,0.075432133746992,18.6501636737209,2.43241623418061e-06,11627.1118718243,12278.4048371696
2.39722840012126e-05,1.70822118132476,0.0406802651408267,14.0194053120627,1.03600010862526e-05,15612.8806422122,16487.4365459607
1.35960047856225e-05,1.1972794568064,0.0126124393170112,19.15383234619,2.26884066527318e-06,11313.0178243706,11946.7168037098
1.58886255121417e-05,1.2304945062916,0.234736674492654,15.2687261844545,3.88907924971041e-06,14291.0938398226,15091.6098224305
1.67266483324254e-05,1.6355261967041,0.0201170751949016,13.7685173807292,6.63289643570404e-06,15908.3742168984,16799.4822007008
