a,Rstar,R0,psi,pi,mean_nz,meannh
2.13563767706025e-05,1.25265428842541,0.00837901660794708,50.4327086818123,4.34378120203301e-06,4232.91737715155,4469.54203719715
2.33126617047926e-05,1.49413841603664,0.00796512069602267,28.5445996139827,7.77163640265813e-06,7537.15036862319,7958.48522701541
1.79161255145688e-05,1.61540172014187,0.00297693224124148,20.7759480479246,6.84556406863728e-06,10425.9895986452,11008.8136947957
1.93283233214915e-05,1.5948913342144,0.0227372093032689,76.6447318286388,7.37701554699455e-06,2775.72720771656,2930.89336107703
1.66140054155141e-05,1.06727277487973,0.0730661941812512,42.4843639265257,1.12974834543601e-06,5034.3494171433,5315.7749951176
1.75388475486031e-05,1.84948350413311,0.0527996105412211,102.355734331188,8.50463002667153e-06,2075.04923693428,2191.04673381854
1.79544122618521e-05,1.14826752306075,0.0595957411420236,19.9045169151004,2.46519453956378e-06,10894.4098795533,11503.4191760876
1.33808826370155e-05,1.45468794992899,0.00855746283038487,61.3862661573291,4.21846974943727e-06,3471.36933406442,3665.42263475004
2.04136918337541e-05,1.21425528619466,0.00820149012638538,40.1636260973894,3.63170609073667e-06,5328.94202271936,5626.83564600034
2.03191198758977e-05,1.36818693974185,0.0233147484537993,26.8115547524089,5.59840236670599e-06,8033.71046352481,8482.80356834124
1.53250049173376e-05,1.30038347709401,0.0287391606731733,35.881029625304,3.64470549895873e-06,5974.04993105859,6308.00578421618
1.4548500068441e-05,1.7821196845581,0.00207804625003288,24.7260441069164,6.39810932577696e-06,8725.48496612273,9213.24901391315
1.36531108226264e-05,1.53232356961646,0.0635071352811566,73.9555205656123,5.06460845823289e-06,2877.34984015724,3038.19680859433
1.38872644940643e-05,1.69041089019666,0.0374255118679517,40.9709006394516,5.89238813213017e-06,5222.63443551969,5514.58534968541
1.47258983418401e-05,1.31925307271626,0.0446296496241294,33.4753676240831,3.73001210187396e-06,6409.94115099608,6768.26379484307
1.34540669035865e-05,1.19171681564518,0.0861562187103571,92.8234183952948,2.36843936572221e-06,2289.30033296412,2417.27469786762
1.73761694708141e-05,1.30750656246548,0.0500750760099606,19.2605227487206,4.30196853280845e-06,11268.5575345998,11898.4820897593
1.92880441043386e-05,1.42605971316286,0.0451779130239735,19.4166920869981,6.03517123147827e-06,11175.484881228,11800.2065743892
1.53798872235054e-05,1.06309768464398,0.00890990114953454,52.4046534904561,9.21029458625885e-07,4072.09160453885,4299.72592993335
1.36670955460165e-05,1.43718282105508,0.0103977418229959,45.3705437411306,4.20107665823843e-06,4710.500395553,4973.82246291933
2.13105327831125e-05,1.084360970482,0.0114776675209104,79.0048689443628,1.67712773064133e-06,2692.27662940946,2842.77780517572
2.17749259923398e-05,1.08020885133263,0.0531699728645729,36.299908195634,1.70761201318232e-06,5904.14112750014,6234.18900291985
1.62629540802464e-05,1.23570296414328,0.0301225504177271,40.0322027922456,3.19835160120088e-06,5346.65977357,5645.54383828848
1.24098619316993e-05,1.22632207263,0.0105018452712863,32.2230221697496,2.31456226454172e-06,6663.03069323805,7035.50131625831
2.09062095943792e-05,1.10992500908766,0.00679784476977496,32.0588893317563,2.08464146739079e-06,6697.68985697374,7072.09796473695
